domain,category,model,correct,total,accuracy
chart,attribute,internvl2,26,31,0.8387
chart,attribute,llava,24,31,0.7742
chart,count,internvl2,35,45,0.7778
chart,count,llava,23,45,0.5111
chart,existence,internvl2,68,73,0.9315
chart,existence,llava,52,73,0.7123
chart,ocr_numeric,internvl2,32,45,0.7111
chart,ocr_numeric,llava,0,43,0.0000
chart,spatial,internvl2,36,43,0.8372
chart,spatial,llava,21,43,0.4884
medical,attribute,internvl2,12,36,0.3333
medical,attribute,llava,16,36,0.4444
medical,count,internvl2,20,47,0.4255
medical,count,llava,23,47,0.4894
medical,existence,internvl2,27,53,0.5094
medical,existence,llava,39,64,0.6094
medical,spatial,internvl2,12,14,0.8571
medical,spatial,llava,9,16,0.5625
natural,count,internvl2,36,48,0.7500
natural,count,llava,19,47,0.4043
natural,existence,internvl2,93,99,0.9394
natural,existence,llava,85,100,0.8500
natural,spatial,internvl2,46,63,0.7302
natural,spatial,llava,47,74,0.6351
screenshot,existence,internvl2,72,78,0.9231
screenshot,existence,llava,53,78,0.6795
screenshot,spatial,internvl2,28,48,0.5833
screenshot,spatial,llava,25,48,0.5208
